Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2019-11-27,14:59:23,35.3,
2019-11-27,15:32:23,30.7,
2019-11-27,16:05:23,28.7,
2019-11-27,16:38:23,27.2,
2019-11-27,17:11:23,27.7,
2019-11-27,17:44:23,30.6,
2019-11-27,18:17:23,31.8,
2019-11-27,18:50:23,32.0,
2019-11-27,19:23:23,32.1,
2019-11-27,19:56:23,32.3,
2019-11-27,20:29:23,32.5,
2019-11-27,21:02:23,32.6,
2019-11-27,21:35:23,32.7,
2019-11-27,22:08:23,32.8,
2019-11-27,22:41:23,32.8,
2019-11-27,23:14:23,32.8,
2019-11-27,23:47:23,32.8,
2019-11-28,00:20:23,32.7,
2019-11-28,00:53:23,32.7,
2019-11-28,01:26:23,32.6,
2019-11-28,01:59:23,32.6,
2019-11-28,02:32:23,32.5,
2019-11-28,03:05:23,32.3,
2019-11-28,03:38:23,32.2,
2019-11-28,04:11:23,32.1,
2019-11-28,04:44:23,31.9,
2019-11-28,05:17:23,31.7,
2019-11-28,05:50:23,31.5,
2019-11-28,06:23:23,31.4,
2019-11-28,06:56:23,31.1,
2019-11-28,07:29:23,31.0,
2019-11-28,08:02:23,31.0,
2019-11-28,08:35:23,31.0,
2019-11-28,09:08:23,30.9,
2019-11-28,09:41:23,30.8,
2019-11-28,10:14:23,30.7,
2019-11-28,10:47:23,30.9,
2019-11-28,11:20:23,31.3,
2019-11-28,11:53:23,31.9,
2019-11-28,12:26:23,32.7,
2019-11-28,12:59:23,32.7,
2019-11-28,13:32:23,32.7,
2019-11-28,14:05:23,33.1,
2019-11-28,14:38:23,33.3,
2019-11-28,15:11:23,33.2,
2019-11-28,15:44:23,33.4,
2019-11-28,16:17:23,33.5,
2019-11-28,16:50:23,33.8,
2019-11-28,17:23:23,34.1,
2019-11-28,17:56:23,34.2,
2019-11-28,18:29:23,34.2,
2019-11-28,19:02:23,34.2,
2019-11-28,19:35:23,34.0,
2019-11-28,20:08:23,34.0,
2019-11-28,20:41:23,34.0,
2019-11-28,21:14:23,33.9,
2019-11-28,21:47:23,33.9,
2019-11-28,22:20:23,33.8,
2019-11-28,22:53:23,33.7,
2019-11-28,23:26:23,33.6,
2019-11-28,23:59:23,33.5,
2019-11-29,00:32:23,33.4,
2019-11-29,01:05:23,33.2,
2019-11-29,01:38:23,33.1,
2019-11-29,02:11:23,33.0,
2019-11-29,02:44:23,32.9,
2019-11-29,03:17:23,32.7,
2019-11-29,03:50:23,32.5,
2019-11-29,04:23:23,32.4,
2019-11-29,04:56:23,32.2,
2019-11-29,05:29:23,32.0,
2019-11-29,06:02:23,31.8,
2019-11-29,06:35:23,31.6,
2019-11-29,07:08:23,31.4,
2019-11-29,07:41:23,31.3,
2019-11-29,08:14:23,31.3,
2019-11-29,08:47:23,31.2,
2019-11-29,09:20:23,31.2,
2019-11-29,09:53:23,31.1,
2019-11-29,10:26:23,31.1,
2019-11-29,10:59:23,31.3,
2019-11-29,11:32:23,31.5,
2019-11-29,12:05:23,31.7,
2019-11-29,12:38:23,32.1,
2019-11-29,13:11:23,32.3,
2019-11-29,13:44:23,32.6,
2019-11-29,14:17:23,32.6,
2019-11-29,14:50:23,32.7,
2019-11-29,15:23:23,32.8,
2019-11-29,15:56:23,33.1,
2019-11-29,16:29:23,33.3,
2019-11-29,17:02:23,33.5,
2019-11-29,17:35:23,33.6,
2019-11-29,18:08:23,33.6,
2019-11-29,18:41:23,33.6,
2019-11-29,19:14:23,33.7,
2019-11-29,19:47:23,33.7,
2019-11-29,20:20:23,33.8,
2019-11-29,20:53:23,33.8,
2019-11-29,21:26:23,33.9,
2019-11-29,21:59:23,33.8,
2019-11-29,22:32:23,33.7,
2019-11-29,23:05:23,33.6,
2019-11-29,23:38:23,33.5,
2019-11-30,00:11:23,33.4,
2019-11-30,00:44:23,33.3,
2019-11-30,01:17:23,33.2,
2019-11-30,01:50:23,33.0,
2019-11-30,02:23:23,32.9,
2019-11-30,02:56:23,32.7,
2019-11-30,03:29:23,32.6,
2019-11-30,04:02:23,32.4,
2019-11-30,04:35:23,32.2,
2019-11-30,05:08:23,32.1,
2019-11-30,05:41:23,31.8,
2019-11-30,06:14:23,31.6,
2019-11-30,06:47:23,31.5,
2019-11-30,07:20:23,31.3,
2019-11-30,07:53:23,31.2,
2019-11-30,08:26:23,31.2,
2019-11-30,08:59:23,31.1,
2019-11-30,09:32:23,31.0,
2019-11-30,10:05:23,30.9,
2019-11-30,10:38:23,30.9,
2019-11-30,11:11:23,31.1,
2019-11-30,11:44:23,31.4,
2019-11-30,12:17:23,32.0,
2019-11-30,12:50:23,32.5,
2019-11-30,13:23:23,33.2,
2019-11-30,13:56:23,33.6,
2019-11-30,14:29:23,34.0,
2019-11-30,15:02:23,34.3,
2019-11-30,15:35:23,34.5,
2019-11-30,16:08:23,34.3,
2019-11-30,16:41:23,34.3,
2019-11-30,17:14:23,34.5,
2019-11-30,17:47:23,34.8,
2019-11-30,18:20:23,34.8,
2019-11-30,18:53:23,34.7,
2019-11-30,19:26:23,34.6,
2019-11-30,19:59:23,34.6,
2019-11-30,20:32:23,34.4,
2019-11-30,21:05:23,34.4,
2019-11-30,21:38:23,34.3,
2019-11-30,22:11:23,34.2,
2019-11-30,22:44:23,34.1,
2019-11-30,23:17:23,34.0,
2019-11-30,23:50:23,33.9,
2019-12-01,00:23:23,33.8,
2019-12-01,00:56:23,33.6,
2019-12-01,01:29:23,33.4,
2019-12-01,02:02:23,33.2,
2019-12-01,02:35:23,33.1,
2019-12-01,03:08:23,32.8,
2019-12-01,03:41:23,32.6,
2019-12-01,04:14:23,32.4,
2019-12-01,04:47:23,32.2,
2019-12-01,05:20:23,32.0,
2019-12-01,05:53:23,31.8,
2019-12-01,06:26:23,31.7,
2019-12-01,06:59:23,31.4,
2019-12-01,07:32:23,31.3,
2019-12-01,08:05:23,31.2,
2019-12-01,08:38:23,31.1,
2019-12-01,09:11:23,31.1,
2019-12-01,09:44:23,30.9,
2019-12-01,10:17:23,30.8,
2019-12-01,10:50:23,30.9,
2019-12-01,11:23:23,30.9,
2019-12-01,11:56:23,31.1,
2019-12-01,12:29:23,31.3,
2019-12-01,13:02:23,31.5,
2019-12-01,13:35:23,31.5,
2019-12-01,14:08:23,31.7,
2019-12-01,14:41:23,31.8,
2019-12-01,15:14:23,31.9,
2019-12-01,15:47:23,32.1,
2019-12-01,16:20:23,32.2,
2019-12-01,16:53:23,32.4,
2019-12-01,17:26:23,32.5,
2019-12-01,17:59:23,32.6,
2019-12-01,18:32:23,32.7,
2019-12-01,19:05:23,32.8,
2019-12-01,19:38:23,32.9,
