Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2020-01-03,10:31:09,24.6,
2020-01-03,11:04:09,24.7,
2020-01-03,11:37:09,24.2,
2020-01-03,12:10:09,26.2,
2020-01-03,12:43:09,27.0,
2020-01-03,13:16:09,27.4,
2020-01-03,13:49:09,28.0,
2020-01-03,14:22:09,27.7,
2020-01-03,14:55:09,26.3,
2020-01-03,15:28:09,25.4,
2020-01-03,16:01:09,24.9,
2020-01-03,16:34:09,24.7,
2020-01-03,17:07:09,24.6,
2020-01-03,17:40:09,24.6,
2020-01-03,18:13:09,24.6,
2020-01-03,18:46:09,24.6,
2020-01-03,19:19:09,24.6,
2020-01-03,19:52:09,24.5,
2020-01-03,20:25:09,24.5,Inspection ,
2020-01-03,20:58:09,24.3,
2020-01-03,21:31:09,24.2,
2020-01-03,22:04:09,24.2,
2020-01-03,22:37:09,24.2,
2020-01-03,23:10:09,24.1,
2020-01-03,23:43:09,24.1,
2020-01-04,00:16:09,24.0,
2020-01-04,00:49:09,24.0,
2020-01-04,01:22:09,24.0,
2020-01-04,01:55:09,23.9,
2020-01-04,02:28:09,23.9,
2020-01-04,03:01:09,23.8,
2020-01-04,03:34:09,23.7,
2020-01-04,04:07:09,23.6,
2020-01-04,04:40:09,23.6,
2020-01-04,05:13:09,23.5,
2020-01-04,05:46:09,23.4,
2020-01-04,06:19:09,23.3,
2020-01-04,06:52:09,23.2,
2020-01-04,07:25:09,23.1,
2020-01-04,07:58:09,23.0,
2020-01-04,08:31:09,22.8,
2020-01-04,09:04:09,22.6,
2020-01-04,09:37:09,22.6,
2020-01-04,10:10:09,22.7,
2020-01-04,10:43:09,22.7,
2020-01-04,11:16:09,22.7,
2020-01-04,11:49:09,22.7,
2020-01-04,12:22:09,22.8,
2020-01-04,12:55:09,22.9,
2020-01-04,13:28:09,23.0,
2020-01-04,14:01:09,23.1,
2020-01-04,14:34:09,23.2,
2020-01-04,15:07:09,23.4,
2020-01-04,15:40:09,23.5,
2020-01-04,16:13:09,23.8,
2020-01-04,16:46:09,23.9,
2020-01-04,17:19:09,24.0,
2020-01-04,17:52:09,24.2,
2020-01-04,18:25:09,24.3,
2020-01-04,18:58:09,24.4,
2020-01-04,19:31:09,24.5,
2020-01-04,20:04:09,24.5,
2020-01-04,20:37:09,24.5,
2020-01-04,21:10:09,24.5,
2020-01-04,21:43:09,24.4,
2020-01-04,22:16:09,24.4,
2020-01-04,22:49:09,24.3,
2020-01-04,23:22:09,24.3,
2020-01-04,23:55:09,24.1,
2020-01-05,00:28:09,24.0,
2020-01-05,01:01:09,23.9,
2020-01-05,01:34:09,23.8,
2020-01-05,02:07:09,23.7,
2020-01-05,02:40:09,23.5,
2020-01-05,03:13:09,23.4,
2020-01-05,03:46:09,23.3,
2020-01-05,04:19:09,23.1,
2020-01-05,04:52:09,23.0,
2020-01-05,05:25:09,22.9,
2020-01-05,05:58:09,22.7,
2020-01-05,06:31:09,22.5,
2020-01-05,07:04:09,22.3,
2020-01-05,07:37:09,22.0,
2020-01-05,08:10:09,21.9,
2020-01-05,08:43:09,21.7,
2020-01-05,09:16:09,21.6,
2020-01-05,09:49:09,21.5,
2020-01-05,10:22:09,21.5,
2020-01-05,10:55:09,21.4,
2020-01-05,11:28:09,21.4,
2020-01-05,12:01:09,21.5,
2020-01-05,12:34:09,21.7,
2020-01-05,13:07:09,21.7,
2020-01-05,13:40:09,21.8,
2020-01-05,14:13:09,22.0,
2020-01-05,14:46:09,22.2,
2020-01-05,15:19:09,22.4,
2020-01-05,15:52:09,22.7,
2020-01-05,16:25:09,23.0,
2020-01-05,16:58:09,23.2,
2020-01-05,17:31:09,23.2,
2020-01-05,18:04:09,23.4,
2020-01-05,18:37:09,23.5,
2020-01-05,19:10:09,23.6,
2020-01-05,19:43:09,23.6,
2020-01-05,20:16:09,23.7,
2020-01-05,20:49:09,23.7,
2020-01-05,21:22:09,23.6,
2020-01-05,21:55:09,23.5,
2020-01-05,22:28:09,23.4,
2020-01-05,23:01:09,23.4,
2020-01-05,23:34:09,23.2,
2020-01-06,00:07:09,23.0,
2020-01-06,00:40:09,22.9,
2020-01-06,01:13:09,22.7,
2020-01-06,01:46:09,22.6,
2020-01-06,02:19:09,22.4,
2020-01-06,02:52:09,22.2,
2020-01-06,03:25:09,22.0,
2020-01-06,03:58:09,21.8,
2020-01-06,04:31:09,21.6,
2020-01-06,05:04:09,21.4,
2020-01-06,05:37:09,21.2,
2020-01-06,06:10:09,21.0,
2020-01-06,06:43:09,20.9,
2020-01-06,07:16:09,20.8,
2020-01-06,07:49:09,20.6,
2020-01-06,08:22:09,19.5,
2020-01-06,08:55:09,19.1,
2020-01-06,09:28:09,19.4,
2020-01-06,10:01:09,19.9,
2020-01-06,10:34:09,20.2,
2020-01-06,11:07:09,20.4,
2020-01-06,11:40:09,20.5,
2020-01-06,12:13:09,20.7,
2020-01-06,12:46:09,21.1,
2020-01-06,13:19:09,21.6,
2020-01-06,13:52:09,21.9,
2020-01-06,14:25:09,22.2,
2020-01-06,14:58:09,22.3,
2020-01-06,15:31:09,22.5,
2020-01-06,16:04:09,22.8,
2020-01-06,16:37:09,23.2,
2020-01-06,17:10:09,23.5,
2020-01-06,17:43:09,23.6,
2020-01-06,18:16:09,23.7,
2020-01-06,18:49:09,23.8,
2020-01-06,19:22:09,23.9,
2020-01-06,19:55:09,24.0,
