Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2019-12-25,10:15:06,28.8,
2019-12-25,10:48:06,29.0,
2019-12-25,11:21:06,29.6,
2019-12-25,11:54:06,30.3,
2019-12-25,12:27:06,31.4,
2019-12-25,13:00:06,32.2,
2019-12-25,13:33:06,30.1,
2019-12-25,14:06:06,29.3,
2019-12-25,14:39:06,29.3,
2019-12-25,15:12:06,29.6,
2019-12-25,15:45:06,30.1,
2019-12-25,16:18:06,30.5,
2019-12-25,16:51:06,30.8,
2019-12-25,17:24:06,31.0,
2019-12-25,17:57:06,31.1,
2019-12-25,18:30:06,31.2,
2019-12-25,19:03:06,31.2,
2019-12-25,19:36:06,31.2,
2019-12-25,20:09:06,31.1,
2019-12-25,20:42:06,30.9,
2019-12-25,21:15:06,30.6,
2019-12-25,21:48:06,30.5,
2019-12-25,22:21:06,30.3,
2019-12-25,22:54:06,30.1,
2019-12-25,23:27:06,29.8,
2019-12-26,00:00:06,29.5,
2019-12-26,00:33:06,29.2,
2019-12-26,01:06:06,28.9,
2019-12-26,01:39:06,28.6,
2019-12-26,02:12:06,28.3,
2019-12-26,02:45:06,28.0,
2019-12-26,03:18:06,27.7,
2019-12-26,03:51:06,27.4,
2019-12-26,04:24:06,27.1,
2019-12-26,04:57:06,26.9,
2019-12-26,05:30:06,26.6,
2019-12-26,06:03:06,26.3,
2019-12-26,06:36:06,26.0,
2019-12-26,07:09:06,25.6,
2019-12-26,07:42:06,25.4,
2019-12-26,08:15:06,25.3,
2019-12-26,08:48:06,25.4,
2019-12-26,09:21:06,25.3,
2019-12-26,09:54:06,25.3,
2019-12-26,10:27:06,25.3,
2019-12-26,11:00:06,25.6,
2019-12-26,11:33:06,25.8,
2019-12-26,12:06:06,25.8,
2019-12-26,12:39:06,26.0,
2019-12-26,13:12:06,26.3,
2019-12-26,13:45:06,26.6,
2019-12-26,14:18:06,26.9,
2019-12-26,14:51:06,27.4,
2019-12-26,15:24:06,27.8,
2019-12-26,15:57:06,28.2,
2019-12-26,16:30:06,28.7,
2019-12-26,17:03:06,29.2,
2019-12-26,17:36:06,29.7,
2019-12-26,18:09:06,30.1,
2019-12-26,18:42:06,30.4,
2019-12-26,19:15:06,30.7,
2019-12-26,19:48:06,30.9,
2019-12-26,20:21:06,31.0,
2019-12-26,20:54:06,31.0,
2019-12-26,21:27:06,30.9,
2019-12-26,22:00:06,30.8,
2019-12-26,22:33:06,30.6,
2019-12-26,23:06:06,30.4,
2019-12-26,23:39:06,30.2,
2019-12-27,00:12:06,30.1,
2019-12-27,00:45:06,29.8,
2019-12-27,01:18:06,29.6,
2019-12-27,01:51:06,29.3,
2019-12-27,02:24:06,29.1,
2019-12-27,02:57:06,28.6,
2019-12-27,03:30:06,28.5,
2019-12-27,04:03:06,28.1,
2019-12-27,04:36:06,27.8,
2019-12-27,05:09:06,27.6,
2019-12-27,05:42:06,27.4,
2019-12-27,06:15:06,27.0,
2019-12-27,06:48:06,26.8,
2019-12-27,07:21:06,26.5,
2019-12-27,07:54:06,26.2,
