Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2019-11-13,12:48:45,28.6,
2019-11-13,13:21:45,28.9,
2019-11-13,13:54:45,30.7,
2019-11-13,14:27:45,31.9,
2019-11-13,15:00:45,32.5,
2019-11-13,15:33:45,33.2,
2019-11-13,16:06:45,33.7,
2019-11-13,16:39:45,34.1,
2019-11-13,17:12:45,34.2,
2019-11-13,17:45:45,34.1,
2019-11-13,18:18:45,33.9,
2019-11-13,18:51:45,33.5,
2019-11-13,19:24:45,33.1,
2019-11-13,19:57:45,32.6,
2019-11-13,20:30:45,32.2,
2019-11-13,21:03:45,31.8,
2019-11-13,21:36:45,31.5,
2019-11-13,22:09:45,31.2,
2019-11-13,22:42:45,31.0,
2019-11-13,23:15:45,30.7,
2019-11-13,23:48:45,30.3,
2019-11-14,00:21:45,30.0,
2019-11-14,00:54:45,29.7,
2019-11-14,01:27:45,29.4,
2019-11-14,02:00:45,29.2,
2019-11-14,02:33:45,29.0,
2019-11-14,03:06:45,28.7,
2019-11-14,03:39:45,28.5,
2019-11-14,04:12:45,28.2,
2019-11-14,04:45:45,27.9,
2019-11-14,05:18:45,27.5,
2019-11-14,05:51:45,27.2,
2019-11-14,06:24:45,26.9,
2019-11-14,06:57:45,26.7,
2019-11-14,07:30:45,26.4,
2019-11-14,08:03:45,26.3,
2019-11-14,08:36:45,26.4,
2019-11-14,09:09:45,26.8,
2019-11-14,09:42:45,27.3,
2019-11-14,10:15:45,27.1,
2019-11-14,10:48:45,25.4,
2019-11-14,11:21:45,25.5,
2019-11-14,11:54:45,25.7,
2019-11-14,12:27:45,26.5,
2019-11-14,13:00:45,26.6,
2019-11-14,13:33:45,27.2,
2019-11-14,14:06:45,27.4,
2019-11-14,14:39:45,27.7,
2019-11-14,15:12:45,28.1,
2019-11-14,15:45:45,27.7,
2019-11-14,16:18:45,27.5,
2019-11-14,16:51:45,27.4,
2019-11-14,17:24:45,27.0,
2019-11-14,17:57:45,26.4,
2019-11-14,18:30:45,25.9,
2019-11-14,19:03:45,25.4,
2019-11-14,19:36:45,24.9,
2019-11-14,20:09:45,24.6,
2019-11-14,20:42:45,24.3,
2019-11-14,21:15:45,23.9,
2019-11-14,21:48:45,23.5,
2019-11-14,22:21:45,23.1,
2019-11-14,22:54:45,22.7,
2019-11-14,23:27:45,22.3,
2019-11-15,00:00:45,21.9,
2019-11-15,00:33:45,21.5,
2019-11-15,01:06:45,21.1,
2019-11-15,01:39:45,20.8,
2019-11-15,02:12:45,20.5,
2019-11-15,02:45:45,20.2,
2019-11-15,03:18:45,20.1,
2019-11-15,03:51:45,19.9,
2019-11-15,04:24:45,19.6,
2019-11-15,04:57:45,19.2,
2019-11-15,05:30:45,18.9,
2019-11-15,06:03:45,18.6,
2019-11-15,06:36:45,18.4,
2019-11-15,07:09:45,18.2,
2019-11-15,07:42:45,18.0,
2019-11-15,08:15:45,17.9,
2019-11-15,08:48:45,17.9,
2019-11-15,09:21:45,18.1,
2019-11-15,09:54:45,18.4,
2019-11-15,10:27:45,18.8,
2019-11-15,11:00:45,19.6,
2019-11-15,11:33:45,20.5,
2019-11-15,12:06:45,21.3,
2019-11-15,12:39:45,21.8,
2019-11-15,13:12:45,22.4,
2019-11-15,13:45:45,25.1,
2019-11-15,14:18:45,27.5,
2019-11-15,14:51:45,29.0,
2019-11-15,15:24:45,30.1,
2019-11-15,15:57:45,30.8,
2019-11-15,16:30:45,31.4,
2019-11-15,17:03:45,31.7,
2019-11-15,17:36:45,31.8,
2019-11-15,18:09:45,31.7,
2019-11-15,18:42:45,31.4,
2019-11-15,19:15:45,31.2,
2019-11-15,19:48:45,30.8,
2019-11-15,20:21:45,30.5,
2019-11-15,20:54:45,30.2,
2019-11-15,21:27:45,29.9,
2019-11-15,22:00:45,29.7,
2019-11-15,22:33:45,29.6,
2019-11-15,23:06:45,29.4,
2019-11-15,23:39:45,29.2,
2019-11-16,00:12:45,28.9,
2019-11-16,00:45:45,28.7,
2019-11-16,01:18:45,28.3,
2019-11-16,01:51:45,28.0,
2019-11-16,02:24:45,27.7,
2019-11-16,02:57:45,27.5,
2019-11-16,03:30:45,27.3,
2019-11-16,04:03:45,27.2,
2019-11-16,04:36:45,27.1,
2019-11-16,05:09:45,26.9,
2019-11-16,05:42:45,26.8,
2019-11-16,06:15:45,26.6,
2019-11-16,06:48:45,26.4,
2019-11-16,07:21:45,26.2,
2019-11-16,07:54:45,26.0,
2019-11-16,08:27:45,26.0,
2019-11-16,09:00:45,26.2,
2019-11-16,09:33:45,26.6,
2019-11-16,10:06:45,27.1,
2019-11-16,10:39:45,27.7,
2019-11-16,11:12:45,28.3,
2019-11-16,11:45:45,29.1,
2019-11-16,12:18:45,29.7,
2019-11-16,12:51:45,30.4,
2019-11-16,13:24:45,31.0,
2019-11-16,13:57:45,31.6,
2019-11-16,14:30:45,32.1,
2019-11-16,15:03:45,32.7,
2019-11-16,15:36:45,33.1,
2019-11-16,16:09:45,33.3,
2019-11-16,16:42:45,33.3,
2019-11-16,17:15:45,33.1,
2019-11-16,17:48:45,33.0,
2019-11-16,18:21:45,32.7,
2019-11-16,18:54:45,32.4,
2019-11-16,19:27:45,32.1,
2019-11-16,20:00:45,31.8,
2019-11-16,20:33:45,31.5,
