Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2019-12-27,10:48:03,26.0,
2019-12-27,11:21:03,24.7,
2019-12-27,11:54:03,24.9,
2019-12-27,12:27:03,25.2,
2019-12-27,13:00:03,25.5,
2019-12-27,13:33:03,25.8,
2019-12-27,14:06:03,26.1,
2019-12-27,14:39:03,26.4,
2019-12-27,15:12:03,26.6,
2019-12-27,15:45:03,26.8,
2019-12-27,16:18:03,26.9,
2019-12-27,16:51:03,26.6,
2019-12-27,17:24:03,26.3,
2019-12-27,17:57:03,26.4,
2019-12-27,18:30:03,26.5,
2019-12-27,19:03:03,26.5,
2019-12-27,19:36:03,26.2,
2019-12-27,20:09:03,26.0,
2019-12-27,20:42:03,26.0,
2019-12-27,21:15:03,26.0,
2019-12-27,21:48:03,25.8,
2019-12-27,22:21:03,25.7,
2019-12-27,22:54:03,25.5,
2019-12-27,23:27:03,25.3,
2019-12-28,00:00:03,25.1,
2019-12-28,00:33:03,24.8,
2019-12-28,01:06:03,24.6,
2019-12-28,01:39:03,24.6,
2019-12-28,02:12:03,24.3,
2019-12-28,02:45:03,24.1,
2019-12-28,03:18:03,23.9,
2019-12-28,03:51:03,23.7,
2019-12-28,04:24:03,23.5,
2019-12-28,04:57:03,23.3,
2019-12-28,05:30:03,23.1,
2019-12-28,06:03:03,22.9,
2019-12-28,06:36:03,22.7,
2019-12-28,07:09:03,22.5,
2019-12-28,07:42:03,22.3,
2019-12-28,08:15:03,22.2,
2019-12-28,08:48:03,22.4,
2019-12-28,09:21:03,22.6,
2019-12-28,09:54:03,22.9,
2019-12-28,10:27:03,23.2,
2019-12-28,11:00:03,23.7,
2019-12-28,11:33:03,23.9,
2019-12-28,12:06:03,24.1,
2019-12-28,12:39:03,24.5,
2019-12-28,13:12:03,24.8,
2019-12-28,13:45:03,25.1,
2019-12-28,14:18:03,25.5,
2019-12-28,14:51:03,25.7,
2019-12-28,15:24:03,25.9,
2019-12-28,15:57:03,26.2,
2019-12-28,16:30:03,26.4,
2019-12-28,17:03:03,26.5,
2019-12-28,17:36:03,26.5,
2019-12-28,18:09:03,26.6,
2019-12-28,18:42:03,26.6,
2019-12-28,19:15:03,26.6,
2019-12-28,19:48:03,26.5,
2019-12-28,20:21:03,26.4,
2019-12-28,20:54:03,26.3,
2019-12-28,21:27:03,26.1,
2019-12-28,22:00:03,25.8,
2019-12-28,22:33:03,25.6,
2019-12-28,23:06:03,25.4,
2019-12-28,23:39:03,25.2,
2019-12-29,00:12:03,24.9,
2019-12-29,00:45:03,24.7,
2019-12-29,01:18:03,24.5,
2019-12-29,01:51:03,24.3,
2019-12-29,02:24:03,24.2,
2019-12-29,02:57:03,24.0,
2019-12-29,03:30:03,23.8,
2019-12-29,04:03:03,23.6,
2019-12-29,04:36:03,23.3,
2019-12-29,05:09:03,23.1,
2019-12-29,05:42:03,22.9,
2019-12-29,06:15:03,22.6,
2019-12-29,06:48:03,22.4,
2019-12-29,07:21:03,22.1,
2019-12-29,07:54:03,21.9,
2019-12-29,08:27:03,21.9,
2019-12-29,09:00:03,22.0,
2019-12-29,09:33:03,22.4,
2019-12-29,10:06:03,22.7,
2019-12-29,10:39:03,23.0,
2019-12-29,11:12:03,23.3,
2019-12-29,11:45:03,23.6,
2019-12-29,12:18:03,24.0,
2019-12-29,12:51:03,24.4,
2019-12-29,13:24:03,24.7,
2019-12-29,13:57:03,25.0,
2019-12-29,14:30:03,25.3,
2019-12-29,15:03:03,25.6,
2019-12-29,15:36:03,25.8,
2019-12-29,16:09:03,26.1,
2019-12-29,16:42:03,26.3,
2019-12-29,17:15:03,26.4,
2019-12-29,17:48:03,26.4,
2019-12-29,18:21:03,26.5,
2019-12-29,18:54:03,26.4,
2019-12-29,19:27:03,26.3,
2019-12-29,20:00:03,26.3,
2019-12-29,20:33:03,26.2,
2019-12-29,21:06:03,26.0,
2019-12-29,21:39:03,25.7,
2019-12-29,22:12:03,25.6,
2019-12-29,22:45:03,25.4,
2019-12-29,23:18:03,25.2,
2019-12-29,23:51:03,25.0,
2019-12-30,00:24:03,24.8,
2019-12-30,00:57:03,24.6,
2019-12-30,01:30:03,24.4,
