Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2019-11-22,17:04:34,28.6,
2019-11-22,17:37:34,26.7,
2019-11-22,18:10:34,27.1,
2019-11-22,18:43:34,28.8,
2019-11-22,19:16:34,29.1,
2019-11-22,19:49:34,29.2,
2019-11-22,20:22:34,29.2,
2019-11-22,20:55:34,29.1,
2019-11-22,21:28:34,29.0,
2019-11-22,22:01:34,28.9,
2019-11-22,22:34:34,28.9,
2019-11-22,23:07:34,28.8,
2019-11-22,23:40:34,28.8,
2019-11-23,00:13:34,28.8,
2019-11-23,00:46:34,28.7,
2019-11-23,01:19:34,28.6,
2019-11-23,01:52:34,28.5,
2019-11-23,02:25:34,28.4,
2019-11-23,02:58:34,28.3,
2019-11-23,03:31:34,28.1,
2019-11-23,04:04:34,28.1,
2019-11-23,04:37:34,27.9,
2019-11-23,05:10:34,27.8,
2019-11-23,05:43:34,27.7,
2019-11-23,06:16:34,27.5,
2019-11-23,06:49:34,27.3,
2019-11-23,07:22:34,27.3,
2019-11-23,07:55:34,27.2,
2019-11-23,08:28:34,27.2,
2019-11-23,09:01:34,27.4,
2019-11-23,09:34:34,27.5,
2019-11-23,10:07:34,27.6,
2019-11-23,10:40:34,27.7,
2019-11-23,11:13:34,27.7,
2019-11-23,11:46:34,27.8,
2019-11-23,12:19:34,27.9,
2019-11-23,12:52:34,28.2,
2019-11-23,13:25:34,28.7,
2019-11-23,13:58:34,28.9,
2019-11-23,14:31:34,29.2,
2019-11-23,15:04:34,29.4,
2019-11-23,15:37:34,29.6,
2019-11-23,16:10:34,29.8,
2019-11-23,16:43:34,30.1,
2019-11-23,17:16:34,30.0,
2019-11-23,17:49:34,29.9,
2019-11-23,18:22:34,29.8,
2019-11-23,18:55:34,29.8,
2019-11-23,19:28:34,29.8,
2019-11-23,20:01:34,29.8,
2019-11-23,20:34:34,29.7,
2019-11-23,21:07:34,29.5,
2019-11-23,21:40:34,29.3,
2019-11-23,22:13:34,29.2,
2019-11-23,22:46:34,29.1,
2019-11-23,23:19:34,29.1,
2019-11-23,23:52:34,29.0,
2019-11-24,00:25:34,28.9,
2019-11-24,00:58:34,28.8,
2019-11-24,01:31:34,28.7,
2019-11-24,02:04:34,28.6,
2019-11-24,02:37:34,28.5,
2019-11-24,03:10:34,28.3,
2019-11-24,03:43:34,28.3,
2019-11-24,04:16:34,28.1,
2019-11-24,04:49:34,28.1,
2019-11-24,05:22:34,27.9,
2019-11-24,05:55:34,27.8,
2019-11-24,06:28:34,27.7,
2019-11-24,07:01:34,27.6,
2019-11-24,07:34:34,27.5,
2019-11-24,08:07:34,27.4,
2019-11-24,08:40:34,27.4,
2019-11-24,09:13:34,27.5,
2019-11-24,09:46:34,27.6,
2019-11-24,10:19:34,27.6,
2019-11-24,10:52:34,27.6,
2019-11-24,11:25:34,27.2,
2019-11-24,11:58:34,27.1,
2019-11-24,12:31:34,27.1,
2019-11-24,13:04:34,27.2,
2019-11-24,13:37:34,27.3,
2019-11-24,14:10:34,27.4,
2019-11-24,14:43:34,27.5,
2019-11-24,15:16:34,27.6,
2019-11-24,15:49:34,27.7,
2019-11-24,16:22:34,27.8,
2019-11-24,16:55:34,27.9,
2019-11-24,17:28:34,28.0,
2019-11-24,18:01:34,28.1,
2019-11-24,18:34:34,28.1,
2019-11-24,19:07:34,28.2,
2019-11-24,19:40:34,28.3,
2019-11-24,20:13:34,28.2,
2019-11-24,20:46:34,28.2,
2019-11-24,21:19:34,28.3,
2019-11-24,21:52:34,28.2,
2019-11-24,22:25:34,28.2,
2019-11-24,22:58:34,28.1,
2019-11-24,23:31:34,28.0,
2019-11-25,00:04:34,27.9,
2019-11-25,00:37:34,27.8,
2019-11-25,01:10:34,27.7,
2019-11-25,01:43:34,27.6,
2019-11-25,02:16:34,27.4,
2019-11-25,02:49:34,27.3,
2019-11-25,03:22:34,27.1,
2019-11-25,03:55:34,27.0,
2019-11-25,04:28:34,26.9,
2019-11-25,05:01:34,26.8,
2019-11-25,05:34:34,26.7,
2019-11-25,06:07:34,26.6,
2019-11-25,06:40:34,26.5,
2019-11-25,07:13:34,26.4,
2019-11-25,07:46:34,26.4,
2019-11-25,08:19:34,26.4,
2019-11-25,08:52:34,26.6,
2019-11-25,09:25:34,26.7,
2019-11-25,09:58:34,26.8,
2019-11-25,10:31:34,26.9,
2019-11-25,11:04:34,27.0,
2019-11-25,11:37:34,27.2,
2019-11-25,12:10:34,28.8,Inspection ,
2019-11-25,12:43:34,28.4,
2019-11-25,13:16:34,28.9,
2019-11-25,13:49:34,29.3,
2019-11-25,14:22:34,29.6,
2019-11-25,14:55:34,29.9,
2019-11-25,15:28:34,30.2,
2019-11-25,16:01:34,30.4,
2019-11-25,16:34:34,30.7,
2019-11-25,17:07:34,30.9,
2019-11-25,17:40:34,31.2,
2019-11-25,18:13:34,31.4,
2019-11-25,18:46:34,31.6,
2019-11-25,19:19:34,31.8,
2019-11-25,19:52:34,31.9,
2019-11-25,20:25:34,32.0,
2019-11-25,20:58:34,32.1,
2019-11-25,21:31:34,32.1,
2019-11-25,22:04:34,32.1,
2019-11-25,22:37:34,32.1,
2019-11-25,23:10:34,32.1,
2019-11-25,23:43:34,32.0,
2019-11-26,00:16:34,32.0,
2019-11-26,00:49:34,31.9,
2019-11-26,01:22:34,31.8,
2019-11-26,01:55:34,31.7,
2019-11-26,02:28:34,31.6,
2019-11-26,03:01:34,31.5,
2019-11-26,03:34:34,31.4,
2019-11-26,04:07:34,31.3,
2019-11-26,04:40:34,31.1,
2019-11-26,05:13:34,31.0,
2019-11-26,05:46:34,30.9,
2019-11-26,06:19:34,30.7,
2019-11-26,06:52:34,30.5,
2019-11-26,07:25:34,30.4,
2019-11-26,07:58:34,30.2,
2019-11-26,08:31:34,30.1,
2019-11-26,09:04:34,29.9,
2019-11-26,09:37:34,29.7,
2019-11-26,10:10:34,29.6,
2019-11-26,10:43:34,29.6,
2019-11-26,11:16:34,29.6,
2019-11-26,11:49:34,29.6,
2019-11-26,12:22:34,29.7,
2019-11-26,12:55:34,29.8,
2019-11-26,13:28:34,29.9,
