Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2019-11-11,09:30:48,26.3,
2019-11-11,10:03:48,24.3,
2019-11-11,10:36:48,24.6,
2019-11-11,11:09:48,25.0,
2019-11-11,11:42:48,26.1,
2019-11-11,12:15:48,27.9,
2019-11-11,12:48:48,28.9,
2019-11-11,13:21:48,30.2,
2019-11-11,13:54:48,30.8,
2019-11-11,14:27:48,31.6,
2019-11-11,15:00:48,32.6,
2019-11-11,15:33:48,33.2,
2019-11-11,16:06:48,33.6,
2019-11-11,16:39:48,34.5,
2019-11-11,17:12:48,34.0,
2019-11-11,17:45:48,33.6,
2019-11-11,18:18:48,33.3,
2019-11-11,18:51:48,33.2,
2019-11-11,19:24:48,33.1,
2019-11-11,19:57:48,33.0,
2019-11-11,20:30:48,32.9,
2019-11-11,21:03:48,32.8,
2019-11-11,21:36:48,32.8,
2019-11-11,22:09:48,32.7,
2019-11-11,22:42:48,32.7,
2019-11-11,23:15:48,32.7,
2019-11-11,23:48:48,32.6,
2019-11-12,00:21:48,32.5,
2019-11-12,00:54:48,32.5,
2019-11-12,01:27:48,32.4,
2019-11-12,02:00:48,32.4,
2019-11-12,02:33:48,32.4,
2019-11-12,03:06:48,32.2,
2019-11-12,03:39:48,32.2,
2019-11-12,04:12:48,32.1,
2019-11-12,04:45:48,32.1,
2019-11-12,05:18:48,32.0,
2019-11-12,05:51:48,31.9,
2019-11-12,06:24:48,31.8,
2019-11-12,06:57:48,31.7,
2019-11-12,07:30:48,31.6,
2019-11-12,08:03:48,31.5,
2019-11-12,08:36:48,31.4,
2019-11-12,09:09:48,31.3,
2019-11-12,09:42:48,31.3,
2019-11-12,10:15:48,31.1,
2019-11-12,10:48:48,31.0,
2019-11-12,11:21:48,30.9,
2019-11-12,11:54:48,30.8,
2019-11-12,12:27:48,30.8,
2019-11-12,13:00:48,30.7,
2019-11-12,13:33:48,30.7,
2019-11-12,14:06:48,30.6,
2019-11-12,14:39:48,30.6,
2019-11-12,15:12:48,30.6,
2019-11-12,15:45:48,30.7,
2019-11-12,16:18:48,30.7,
2019-11-12,16:51:48,30.7,
2019-11-12,17:24:48,30.8,
2019-11-12,17:57:48,30.8,
2019-11-12,18:30:48,30.7,
2019-11-12,19:03:48,29.9,
2019-11-12,19:36:48,29.3,
2019-11-12,20:09:48,29.0,
2019-11-12,20:42:48,28.7,
2019-11-12,21:15:48,28.4,
2019-11-12,21:48:48,28.1,
2019-11-12,22:21:48,27.9,
2019-11-12,22:54:48,27.7,
2019-11-12,23:27:48,27.5,
2019-11-13,00:00:48,27.4,
2019-11-13,00:33:48,27.3,
2019-11-13,01:06:48,27.2,
2019-11-13,01:39:48,27.1,
2019-11-13,02:12:48,27.0,
2019-11-13,02:45:48,26.8,
2019-11-13,03:18:48,26.8,
2019-11-13,03:51:48,26.7,
2019-11-13,04:24:48,26.6,
2019-11-13,04:57:48,26.5,
2019-11-13,05:30:48,26.5,
2019-11-13,06:03:48,26.3,
2019-11-13,06:36:48,26.2,
2019-11-13,07:09:48,26.3,
2019-11-13,07:42:48,26.1,
2019-11-13,08:15:48,25.8,
2019-11-13,08:48:48,25.7,
2019-11-13,09:21:48,25.9,
2019-11-13,09:54:48,25.7,
2019-11-13,10:27:48,25.5,
2019-11-13,11:00:48,25.3,
2019-11-13,11:33:48,25.3,
2019-11-13,12:06:48,25.1,
2019-11-13,12:39:48,24.9,
2019-11-13,13:12:48,24.9,
2019-11-13,13:45:48,24.9,
2019-11-13,14:18:48,24.8,
2019-11-13,14:51:48,24.8,
2019-11-13,15:24:48,24.9,
2019-11-13,15:57:48,24.9,
2019-11-13,16:30:48,25.0,
2019-11-13,17:03:48,25.1,
2019-11-13,17:36:48,25.2,
2019-11-13,18:09:48,25.1,
2019-11-13,18:42:48,25.2,
2019-11-13,19:15:48,25.0,
2019-11-13,19:48:48,25.1,
2019-11-13,20:21:48,25.1,
2019-11-13,20:54:48,25.1,
2019-11-13,21:27:48,25.2,
2019-11-13,22:00:48,25.1,
2019-11-13,22:33:48,25.1,
2019-11-13,23:06:48,25.1,
2019-11-13,23:39:48,25.2,
2019-11-14,00:12:48,25.1,
2019-11-14,00:45:48,25.1,
2019-11-14,01:18:48,25.1,
2019-11-14,01:51:48,25.0,
2019-11-14,02:24:48,25.0,
2019-11-14,02:57:48,24.9,
2019-11-14,03:30:48,24.9,
2019-11-14,04:03:48,24.9,
2019-11-14,04:36:48,24.8,
2019-11-14,05:09:48,24.8,
2019-11-14,05:42:48,24.7,
2019-11-14,06:15:48,24.8,
2019-11-14,06:48:48,24.8,
2019-11-14,07:21:48,24.8,
2019-11-14,07:54:48,24.8,
2019-11-14,08:27:48,24.6,
2019-11-14,09:00:48,24.5,
2019-11-14,09:33:48,24.4,
2019-11-14,10:06:48,24.3,
2019-11-14,10:39:48,24.2,
2019-11-14,11:12:48,24.0,
2019-11-14,11:45:48,24.0,
2019-11-14,12:18:48,23.9,
2019-11-14,12:51:48,23.9,
2019-11-14,13:24:48,23.9,
2019-11-14,13:57:48,23.8,
2019-11-14,14:30:48,23.8,
2019-11-14,15:03:48,23.8,
2019-11-14,15:36:48,23.9,
2019-11-14,16:09:48,23.9,
2019-11-14,16:42:48,24.0,
2019-11-14,17:15:48,24.1,
2019-11-14,17:48:48,24.2,
2019-11-14,18:21:48,24.1,
2019-11-14,18:54:48,24.1,
2019-11-14,19:27:48,24.1,
2019-11-14,20:00:48,24.2,
2019-11-14,20:33:48,24.3,
2019-11-14,21:06:48,24.3,
2019-11-14,21:39:48,24.4,
2019-11-14,22:12:48,24.4,
2019-11-14,22:45:48,24.4,
2019-11-14,23:18:48,24.4,
2019-11-14,23:51:48,24.4,
2019-11-15,00:24:48,24.4,
2019-11-15,00:57:48,24.4,
2019-11-15,01:30:48,24.4,
2019-11-15,02:03:48,24.4,
2019-11-15,02:36:48,24.3,
2019-11-15,03:09:48,24.3,
2019-11-15,03:42:48,24.2,
2019-11-15,04:15:48,24.2,
2019-11-15,04:48:48,24.2,
2019-11-15,05:21:48,24.2,
2019-11-15,05:54:48,24.2,
2019-11-15,06:27:48,24.1,
2019-11-15,07:00:48,24.2,
2019-11-15,07:33:48,24.3,
2019-11-15,08:06:48,24.3,
2019-11-15,08:39:48,24.3,
2019-11-15,09:12:48,24.1,
2019-11-15,09:45:48,24.1,
2019-11-15,10:18:48,24.0,
2019-11-15,10:51:48,23.8,
2019-11-15,11:24:48,23.8,
2019-11-15,11:57:48,23.7,
2019-11-15,12:30:48,23.7,
2019-11-15,13:03:48,23.7,
2019-11-15,13:36:48,23.7,
2019-11-15,14:09:48,23.7,
2019-11-15,14:42:48,23.7,
2019-11-15,15:15:48,23.7,
2019-11-15,15:48:48,23.8,
2019-11-15,16:21:48,23.8,
2019-11-15,16:54:48,23.9,
2019-11-15,17:27:48,23.8,
2019-11-15,18:00:48,23.9,
2019-11-15,18:33:48,24.0,
2019-11-15,19:06:48,24.0,
2019-11-15,19:39:48,24.1,
2019-11-15,20:12:48,24.1,
2019-11-15,20:45:48,24.2,
2019-11-15,21:18:48,24.2,
2019-11-15,21:51:48,24.3,
2019-11-15,22:24:48,24.4,
2019-11-15,22:57:48,24.4,
2019-11-15,23:30:48,24.4,
2019-11-16,00:03:48,24.4,
2019-11-16,00:36:48,24.4,
2019-11-16,01:09:48,24.4,
2019-11-16,01:42:48,24.4,
2019-11-16,02:15:48,24.4,
2019-11-16,02:48:48,24.4,
2019-11-16,03:21:48,24.4,
2019-11-16,03:54:48,24.3,
2019-11-16,04:27:48,24.4,
2019-11-16,05:00:48,24.5,
2019-11-16,05:33:48,24.4,
2019-11-16,06:06:48,24.4,
2019-11-16,06:39:48,24.4,
2019-11-16,07:12:48,24.4,
2019-11-16,07:45:48,24.3,
2019-11-16,08:18:48,24.3,
2019-11-16,08:51:48,24.2,
2019-11-16,09:24:48,24.2,
2019-11-16,09:57:48,24.0,
2019-11-16,10:30:48,24.0,
2019-11-16,11:03:48,24.1,
2019-11-16,11:36:48,24.0,
2019-11-16,12:09:48,23.9,
2019-11-16,12:42:48,23.8,
2019-11-16,13:15:48,23.8,
2019-11-16,13:48:48,23.7,
2019-11-16,14:21:48,23.7,
2019-11-16,14:54:48,23.7,
2019-11-16,15:27:48,23.7,
2019-11-16,16:00:48,23.7,
2019-11-16,16:33:48,23.7,
2019-11-16,17:06:48,23.8,
2019-11-16,17:39:48,23.8,
2019-11-16,18:12:48,23.8,
2019-11-16,18:45:48,23.8,
2019-11-16,19:18:48,23.9,
2019-11-16,19:51:48,24.0,
2019-11-16,20:24:48,24.1,
2019-11-16,20:57:48,24.1,
2019-11-16,21:30:48,24.1,
2019-11-16,22:03:48,24.2,
2019-11-16,22:36:48,24.2,
2019-11-16,23:09:48,24.2,
2019-11-16,23:42:48,24.3,
2019-11-17,00:15:48,24.4,
2019-11-17,00:48:48,24.3,
2019-11-17,01:21:48,24.3,
2019-11-17,01:54:48,24.3,
2019-11-17,02:27:48,24.3,
2019-11-17,03:00:48,24.3,
2019-11-17,03:33:48,24.4,
2019-11-17,04:06:48,24.4,
2019-11-17,04:39:48,24.3,
2019-11-17,05:12:48,24.4,
2019-11-17,05:45:48,24.3,
2019-11-17,06:18:48,24.4,
2019-11-17,06:51:48,24.4,
