Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2020-07-16,10:18:50,30.0,
2020-07-16,10:51:50,26.6,
2020-07-16,11:24:50,24.4,
2020-07-16,11:57:50,27.6,
2020-07-16,12:30:50,25.0,
2020-07-16,13:03:50,24.7,
2020-07-16,13:36:50,24.8,
2020-07-16,14:09:50,25.6,
2020-07-16,14:42:50,27.0,
2020-07-16,15:15:50,27.4,
2020-07-16,15:48:50,27.1,
2020-07-16,16:21:50,30.5,
2020-07-16,16:54:50,31.7,
2020-07-16,17:27:50,32.4,
2020-07-16,18:00:50,34.1,
2020-07-16,18:33:50,29.1,
2020-07-16,19:06:50,26.3,
2020-07-16,19:39:50,25.2,
2020-07-16,20:12:50,25.6,
2020-07-16,20:45:50,26.4,
2020-07-16,21:18:50,27.9,
2020-07-16,21:51:50,28.3,
2020-07-16,22:24:50,26.9,
2020-07-16,22:57:50,25.9,
2020-07-16,23:30:50,25.6,
2020-07-17,00:03:50,25.8,
2020-07-17,00:36:50,26.3,
2020-07-17,01:09:50,27.6,
2020-07-17,01:42:50,28.3,
2020-07-17,02:15:50,28.5,
2020-07-17,02:48:50,28.5,
2020-07-17,03:21:50,28.3,
2020-07-17,03:54:50,28.0,
2020-07-17,04:27:50,27.7,
2020-07-17,05:00:50,27.5,
2020-07-17,05:33:50,27.3,
2020-07-17,06:06:50,27.0,
2020-07-17,06:39:50,26.8,
2020-07-17,07:12:50,26.7,
2020-07-17,07:45:50,26.9,
2020-07-17,08:18:50,27.9,
2020-07-17,08:51:50,28.4,
2020-07-17,09:24:50,28.7,
2020-07-17,09:57:50,29.1,
2020-07-17,10:30:50,29.6,
2020-07-17,11:03:50,30.1,
2020-07-17,11:36:50,28.9,
2020-07-17,12:09:50,28.7,
2020-07-17,12:42:50,29.5,
2020-07-17,13:15:50,30.1,
2020-07-17,13:48:50,32.1,
2020-07-17,14:21:50,31.2,
2020-07-17,14:54:50,30.8,
2020-07-17,15:27:50,30.6,
2020-07-17,16:00:50,30.4,
2020-07-17,16:33:50,30.4,
2020-07-17,17:06:50,31.7,
2020-07-17,17:39:50,33.4,
2020-07-17,18:12:50,33.5,
2020-07-17,18:45:50,32.7,
2020-07-17,19:18:50,32.5,
2020-07-17,19:51:50,31.1,
2020-07-17,20:24:50,30.7,
2020-07-17,20:57:50,31.1,
2020-07-17,21:30:50,29.7,
2020-07-17,22:03:50,29.6,
2020-07-17,22:36:50,25.5,
2020-07-17,23:09:50,24.9,
2020-07-17,23:42:50,24.5,
2020-07-18,00:15:50,24.4,
2020-07-18,00:48:50,24.1,
2020-07-18,01:21:50,23.9,
2020-07-18,01:54:50,23.7,
2020-07-18,02:27:50,23.6,
2020-07-18,03:00:50,23.5,
2020-07-18,03:33:50,23.4,
2020-07-18,04:06:50,23.3,
2020-07-18,04:39:50,23.2,
2020-07-18,05:12:50,23.2,
2020-07-18,05:45:50,23.1,
2020-07-18,06:18:50,23.0,
2020-07-18,06:51:50,23.0,
2020-07-18,07:24:50,22.9,
