Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2020-09-07,19:50:03,29.8,
2020-09-07,20:09:03,29.3,
2020-09-07,20:28:03,29.4,
2020-09-07,20:47:03,29.4,
2020-09-07,21:06:03,29.3,
2020-09-07,21:25:03,29.2,
2020-09-07,21:44:03,29.4,
2020-09-07,22:03:03,29.2,
2020-09-07,22:22:03,29.1,
2020-09-07,22:41:03,29.1,
2020-09-07,23:00:03,29.1,
2020-09-07,23:19:03,29.1,
2020-09-07,23:38:03,29.5,
2020-09-07,23:57:03,30.5,
2020-09-08,00:16:03,29.5,
2020-09-08,00:35:03,29.1,
2020-09-08,00:54:03,29.1,
2020-09-08,01:13:03,29.1,
2020-09-08,01:32:03,29.0,
2020-09-08,01:51:03,28.9,
2020-09-08,02:10:03,28.9,
2020-09-08,02:29:03,28.9,
2020-09-08,02:48:03,28.9,
2020-09-08,03:07:03,28.8,
2020-09-08,03:26:03,28.8,
2020-09-08,03:45:03,28.7,
2020-09-08,04:04:03,28.7,
2020-09-08,04:23:03,28.7,
2020-09-08,04:42:03,28.7,
2020-09-08,05:01:03,28.7,
2020-09-08,05:20:03,28.7,
2020-09-08,05:39:03,28.7,
2020-09-08,05:58:03,28.6,
2020-09-08,06:17:03,28.6,
2020-09-08,06:36:03,28.5,
2020-09-08,06:55:03,28.5,
2020-09-08,07:14:03,28.8,
2020-09-08,07:33:03,21.7,
2020-09-08,07:52:03,22.6,
2020-09-08,08:11:03,22.7,
2020-09-08,08:30:03,22.2,
2020-09-08,08:49:03,23.3,
2020-09-08,09:08:03,22.6,
2020-09-08,09:27:03,22.8,
2020-09-08,09:46:03,23.9,
2020-09-08,10:05:03,24.3,
2020-09-08,10:24:03,24.5,
2020-09-08,10:43:03,24.8,
2020-09-08,11:02:03,25.2,
2020-09-08,11:21:03,25.3,
2020-09-08,11:40:03,25.2,
2020-09-08,11:59:03,25.0,
2020-09-08,12:18:03,27.5,
2020-09-08,12:37:03,28.0,
2020-09-08,12:56:03,28.7,
2020-09-08,13:15:03,28.9,
2020-09-08,13:34:03,29.1,
2020-09-08,13:53:03,29.0,
2020-09-08,14:12:03,29.5,
2020-09-08,14:31:03,32.6,
2020-09-08,14:50:03,32.6,
2020-09-08,15:09:03,31.2,
2020-09-08,15:28:03,32.1,
2020-09-08,15:47:03,30.7,
2020-09-08,16:06:03,29.0,
2020-09-08,16:25:03,29.0,
2020-09-08,16:44:03,28.7,
2020-09-08,17:03:03,28.9,
2020-09-08,17:22:03,28.5,
2020-09-08,17:41:03,28.5,
2020-09-08,18:00:03,30.9,
2020-09-08,18:19:03,31.9,
2020-09-08,18:38:03,32.0,
2020-09-08,18:57:03,29.1,
2020-09-08,19:16:03,28.7,
2020-09-08,19:35:03,26.9,
2020-09-08,19:54:03,26.4,
2020-09-08,20:13:03,26.2,
2020-09-08,20:32:03,26.4,
2020-09-08,20:51:03,26.4,
2020-09-08,21:10:03,27.3,
2020-09-08,21:29:03,27.3,
2020-09-08,21:48:03,26.9,
2020-09-08,22:07:03,26.4,
2020-09-08,22:26:03,26.3,
2020-09-08,22:45:03,25.3,
2020-09-08,23:04:03,24.2,
2020-09-08,23:23:03,23.4,
2020-09-08,23:42:03,22.9,
2020-09-09,00:01:03,22.9,
2020-09-09,00:20:03,23.3,
2020-09-09,00:39:03,24.4,
2020-09-09,00:58:03,24.8,
2020-09-09,01:17:03,24.6,
2020-09-09,01:36:03,24.5,
2020-09-09,01:55:03,24.7,
2020-09-09,02:14:03,24.8,
2020-09-09,02:33:03,24.8,
2020-09-09,02:52:03,24.7,
2020-09-09,03:11:03,24.7,
2020-09-09,03:30:03,24.6,
2020-09-09,03:49:03,24.6,
2020-09-09,04:08:03,24.5,
2020-09-09,04:27:03,24.5,
2020-09-09,04:46:03,24.4,
2020-09-09,05:05:03,24.3,
2020-09-09,05:24:03,24.1,
2020-09-09,05:43:03,24.0,
2020-09-09,06:02:03,23.9,
2020-09-09,06:21:03,23.8,
2020-09-09,06:40:03,23.8,
2020-09-09,06:59:03,23.7,
2020-09-09,07:18:03,23.6,
2020-09-09,07:37:03,23.7,
2020-09-09,07:56:03,23.7,
2020-09-09,08:15:03,23.9,
2020-09-09,08:34:03,24.4,
2020-09-09,08:53:03,25.2,
2020-09-09,09:12:03,26.0,
2020-09-09,09:31:03,27.5,
2020-09-09,09:50:03,28.1,
2020-09-09,10:09:03,29.0,
2020-09-09,10:28:03,29.7,
2020-09-09,10:47:03,28.9,
2020-09-09,11:06:03,29.1,
2020-09-09,11:25:03,29.1,
2020-09-09,11:44:03,28.2,
