Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2020-02-13,17:59:12,32.2,
2020-02-13,18:32:12,31.3,Inspection ,
2020-02-13,19:05:12,31.2,
2020-02-13,19:38:12,31.2,
2020-02-13,20:11:12,31.2,
2020-02-13,20:44:12,31.1,
2020-02-13,21:17:12,31.1,
2020-02-13,21:50:12,31.1,
2020-02-13,22:23:12,31.1,
2020-02-13,22:56:12,31.0,
2020-02-13,23:29:12,30.9,
2020-02-14,00:02:12,30.8,
2020-02-14,00:35:12,30.7,
2020-02-14,01:08:12,30.7,
2020-02-14,01:41:12,30.5,
2020-02-14,02:14:12,30.3,
2020-02-14,02:47:12,30.2,
2020-02-14,03:20:12,30.0,
2020-02-14,03:53:12,29.9,
2020-02-14,04:26:12,29.8,
2020-02-14,04:59:12,29.6,
2020-02-14,05:32:12,29.4,
2020-02-14,06:05:12,29.1,
2020-02-14,06:38:12,29.0,
2020-02-14,07:11:12,28.7,
2020-02-14,07:44:12,28.6,
2020-02-14,08:17:12,28.3,
2020-02-14,08:50:12,28.1,
2020-02-14,09:23:12,27.9,
2020-02-14,09:56:12,27.7,
2020-02-14,10:29:12,27.6,
2020-02-14,11:02:12,27.5,
2020-02-14,11:35:12,27.5,
2020-02-14,12:08:12,27.6,
2020-02-14,12:41:12,27.7,
2020-02-14,13:14:12,27.9,
2020-02-14,13:47:12,28.1,
2020-02-14,14:20:12,28.4,
2020-02-14,14:53:12,28.7,
2020-02-14,15:26:12,29.0,
2020-02-14,15:59:12,29.3,
2020-02-14,16:32:12,29.6,
2020-02-14,17:05:12,29.9,
2020-02-14,17:38:12,30.1,
2020-02-14,18:11:12,30.3,
2020-02-14,18:44:12,30.5,
2020-02-14,19:17:12,30.6,
2020-02-14,19:50:12,30.8,
2020-02-14,20:23:12,30.9,
2020-02-14,20:56:12,31.0,
2020-02-14,21:29:12,31.0,
2020-02-14,22:02:12,31.0,
2020-02-14,22:35:12,31.0,
2020-02-14,23:08:12,31.0,
2020-02-14,23:41:12,30.9,
2020-02-15,00:14:12,30.9,
2020-02-15,00:47:12,30.8,
2020-02-15,01:20:12,30.7,
2020-02-15,01:53:12,30.6,
2020-02-15,02:26:12,30.5,
2020-02-15,02:59:12,30.3,
2020-02-15,03:32:12,30.2,
2020-02-15,04:05:12,30.0,
2020-02-15,04:38:12,29.9,
2020-02-15,05:11:12,29.7,
2020-02-15,05:44:12,29.5,
2020-02-15,06:17:12,29.3,
2020-02-15,06:50:12,29.1,
2020-02-15,07:23:12,28.9,
2020-02-15,07:56:12,28.7,
2020-02-15,08:29:12,28.5,
2020-02-15,09:02:12,28.3,
2020-02-15,09:35:12,28.1,
2020-02-15,10:08:12,27.9,
2020-02-15,10:41:12,27.8,
2020-02-15,11:14:12,27.8,
2020-02-15,11:47:12,27.8,
2020-02-15,12:20:12,27.9,
2020-02-15,12:53:12,28.0,
2020-02-15,13:26:12,28.2,
2020-02-15,13:59:12,28.5,
2020-02-15,14:32:12,28.7,
2020-02-15,15:05:12,28.9,
2020-02-15,15:38:12,29.2,
2020-02-15,16:11:12,29.5,
2020-02-15,16:44:12,29.7,
2020-02-15,17:17:12,30.0,
2020-02-15,17:50:12,30.2,
2020-02-15,18:23:12,30.4,
2020-02-15,18:56:12,30.5,
2020-02-15,19:29:12,30.6,
2020-02-15,20:02:12,30.7,
2020-02-15,20:35:12,30.8,
2020-02-15,21:08:12,30.8,
2020-02-15,21:41:12,30.8,
2020-02-15,22:14:12,30.8,
2020-02-15,22:47:12,30.8,
2020-02-15,23:20:12,30.7,
2020-02-15,23:53:12,30.6,
2020-02-16,00:26:12,30.6,
2020-02-16,00:59:12,30.5,
2020-02-16,01:32:12,30.4,
2020-02-16,02:05:12,30.3,
2020-02-16,02:38:12,30.2,
2020-02-16,03:11:12,30.1,
2020-02-16,03:44:12,30.0,
2020-02-16,04:17:12,29.8,
2020-02-16,04:50:12,29.7,
2020-02-16,05:23:12,29.6,
2020-02-16,05:56:12,29.5,
2020-02-16,06:29:12,29.3,
2020-02-16,07:02:12,29.2,
2020-02-16,07:35:12,29.0,
2020-02-16,08:08:12,28.9,
2020-02-16,08:41:12,28.8,
2020-02-16,09:14:12,28.6,
2020-02-16,09:47:12,28.4,
2020-02-16,10:20:12,28.4,
2020-02-16,10:53:12,28.3,
2020-02-16,11:26:12,28.3,
2020-02-16,11:59:12,28.3,
2020-02-16,12:32:12,28.4,
2020-02-16,13:05:12,28.5,
2020-02-16,13:38:12,28.7,
2020-02-16,14:11:12,29.0,
2020-02-16,14:44:12,29.3,
2020-02-16,15:17:12,29.7,
2020-02-16,15:50:12,30.0,
2020-02-16,16:23:12,30.3,
2020-02-16,16:56:12,30.6,
2020-02-16,17:29:12,30.9,
2020-02-16,18:02:12,31.2,
2020-02-16,18:35:12,31.4,
2020-02-16,19:08:12,31.5,
2020-02-16,19:41:12,31.7,
2020-02-16,20:14:12,31.8,
2020-02-16,20:47:12,31.8,
2020-02-16,21:20:12,31.8,
2020-02-16,21:53:12,31.8,
2020-02-16,22:26:12,31.9,
2020-02-16,22:59:12,31.9,
2020-02-16,23:32:12,31.8,
2020-02-17,00:05:12,31.8,
2020-02-17,00:38:12,31.8,
2020-02-17,01:11:12,31.7,
2020-02-17,01:44:12,31.6,
2020-02-17,02:17:12,31.5,
2020-02-17,02:50:12,31.4,
2020-02-17,03:23:12,31.4,
2020-02-17,03:56:12,31.2,
2020-02-17,04:29:12,31.1,
2020-02-17,05:02:12,31.0,
2020-02-17,05:35:12,30.8,
2020-02-17,06:08:12,30.7,
2020-02-17,06:41:12,30.6,
