Date,Time (24hr UTC+00:00),Temperature (°C), Events 
2020-01-26,09:34:56,29.7,
2020-01-26,10:07:56,28.8,
2020-01-26,10:40:56,27.6,
2020-01-26,11:13:56,27.8,
2020-01-26,11:46:56,28.3,
2020-01-26,12:19:56,29.0,
2020-01-26,12:52:56,29.8,
2020-01-26,13:25:56,30.8,
2020-01-26,13:58:56,31.4,
2020-01-26,14:31:56,32.2,
2020-01-26,15:04:56,33.0,
2020-01-26,15:37:56,33.5,
2020-01-26,16:10:56,34.2,
2020-01-26,16:43:56,34.8,
2020-01-26,17:16:56,35.0,
2020-01-26,17:49:56,35.0,
2020-01-26,18:22:56,33.5,
2020-01-26,18:55:56,32.6,
2020-01-26,19:28:56,32.6,
2020-01-26,20:01:56,32.6,
2020-01-26,20:34:56,32.8,
2020-01-26,21:07:56,32.9,
2020-01-26,21:40:56,32.9,
2020-01-26,22:13:56,33.1,
2020-01-26,22:46:56,33.1,
2020-01-26,23:19:56,33.2,
2020-01-26,23:52:56,33.2,
2020-01-27,00:25:56,33.2,
2020-01-27,00:58:56,33.1,
2020-01-27,01:31:56,33.1,
2020-01-27,02:04:56,32.9,
2020-01-27,02:37:56,32.8,
2020-01-27,03:10:56,32.6,
2020-01-27,03:43:56,32.5,
2020-01-27,04:16:56,32.3,
2020-01-27,04:49:56,32.1,
2020-01-27,05:22:56,31.9,
2020-01-27,05:55:56,31.7,
2020-01-27,06:28:56,31.5,
2020-01-27,07:01:56,31.3,
2020-01-27,07:34:56,31.1,
2020-01-27,08:07:56,30.8,
2020-01-27,08:40:56,30.6,
2020-01-27,09:13:56,30.4,
2020-01-27,09:46:56,30.2,
2020-01-27,10:19:56,29.9,
2020-01-27,10:52:56,29.7,
2020-01-27,11:25:56,29.6,
2020-01-27,11:58:56,29.5,
2020-01-27,12:31:56,29.5,
2020-01-27,13:04:56,29.5,
2020-01-27,13:37:56,29.6,
2020-01-27,14:10:56,29.8,
2020-01-27,14:43:56,30.0,
2020-01-27,15:16:56,30.2,
2020-01-27,15:49:56,30.4,
2020-01-27,16:22:56,30.8,
2020-01-27,16:55:56,31.1,
2020-01-27,17:28:56,31.4,
2020-01-27,18:01:56,31.8,
2020-01-27,18:34:56,32.1,
2020-01-27,19:07:56,32.5,
2020-01-27,19:40:56,32.8,
2020-01-27,20:13:56,33.1,
2020-01-27,20:46:56,33.4,
2020-01-27,21:19:56,33.6,
2020-01-27,21:52:56,33.8,
